ID,Sentence,Annotation_GCAM1,Annotation_GCAM2,Notes_GCAM1,Notes_GCAM2,Agreement
183,"Thus, government responsibility for old-age security, child life, tonsils, widows, backward mentalities, employment insurance, better maternity, public nursing, recreation, adult play, plumbing, housing, right nurture, infant feeding, vocational guidance, the use of leisure, everything of the good life for everybody, as a responsibility of the state, to procure it, provide it, superintend it.
",G2,G10,,not sure,G2
665,"It has been a bumpy road even to this juncture.
",G12,G5,,possibly G2?,G12
649,"Gone are the days when they led the world in recession-busting
",G12,G2,,not sure,G1
592,"His voice counts for less when corporate elites use market power to settle political questions.
",G1,G10,,not sure,G1
308,"Everyone knows that impulse.
",G1,G9,Not sure,,G9
146,"And now you will see a selective struggle taking place within government itself.
",G10,G1,,maybe G2,G1
46,"As this logistics system becomes more interdependent and fragile, the potential leverage of these workers increases to a dramatic level.
",G5,G1,,,"G1, G5"
460,"The pandemic and politics are two primary factors.
",G10,G9,,,G9
44,"Regardless of whether this tentative agreement is approved or not, deep issues with the rail system will remain.
",G9,G1,,,G1
571,"No citizen in a democratic society should want executives from $10trn financial institutions to play a larger role than they already do in defining and implementing social values.
",G3,G1,,,G3
312,"Obviously, we cannot continue in this direction without consequences either disastrous in fact or revolutionary in principle.
",G3,G1,,,G3
730,"Is monkeypox going to be the “cause” of another lockdown?
",G2,G9,,,G9
646,"It could increase spending or help bridge the financial gaps suffered by lower levels of government.
",G3,G10,,,G9
202,"If only such ideas as these now current do prevail, and if they work, we shall have enormously increased the power of self-extension which is already inherent in government.
",G1,G3,,,G3
547,"These illegal-alien lawyers will now be allowed to try to prevent their fellow illegal aliens from being deported.
","G2, G4",G9,,,G9
