ID,Sentence,Annotation,Notes
663,"Mitic said that Dveri members were not against human rights or anti-discrimination laws protecting LGBTQ+ individuals in the workplace, for example, but that they opposed “the promotion of ideological homosexualism” that Pride represented.
",OBJ,
644,"It has allowed local authorities to issue another 500bn of “special bonds” (which are supposed to be repaid with revenues from the infrastructure projects they finance).
",OBJ,
227,"But with the public credit of a nation, it was different.
",SUBJ,
322,"Out of the city’s own resources, unaided by creditors, the people of Detroit could not have enjoyed these benefits of social service.
",OBJ,or is it a speculation?
666,"This year, the party lobbied for a parliamentary vote to ban Pride and, when that failed, it organised protests.
",SUBJ,critique?
261,"All of it has sometime to be paid out of taxes; and even those who may not pay these future taxes directly will pay them indirectly in the cost of the houses they rent, the food they eat, the clothes they wear, the gas they burn in their motor cars—in every item of the cost of getting born, growing up, growing old, even dying.
",SUBJ,
51,"Firstly and most evidently, demand – and prices – are on the up.
",OBJ,
295,"Many originate with educational, recreational and sociological enthusiasts … These enthusiasts usually start by stating that such and such neighboring city has a certain public service or improvement; therefore, we ought to have it.
",SUBJ,speculation
154,"More than that, reducing the cost of government by measure tends to serve the most potent forces now acting to extend government.
",SUBJ,
277,"In enlightened states it runs even higher.
",OBJ,
211,"The states have also invaded the field of consumption taxes formerly used almost exclusively by the Federal Government.
",OBJ,
311,"But when one expresses a timid doubt regarding the necessity for such and such a project because of the expense, these boosters argue, “The public demands it,” when, as a matter of fact, they themselves originated the scheme… Further tax-boosting influences emanate from the “per capita” or “model” standards.
",SUBJ,
294,"Yet this unction is by most of us undeserved; it comes after the fact, with some sourness in it.
",SUBJ,
346,"Any alternative would be revolutionary in principle, such as, for example, as for the state to appropriate all wealth and administer it directly.
",SUBJ,
622,"In principle, the central government could do more itself to revive growth.
",SUBJ,auspice
249,"The one least considered is what may be called the biological aspect, in which government is like an organism with such an instinct for growth and self-expression that if let alone it is bound to destroy human freedom—not that it might wish to do so but that it could not in nature do less.
",SUBJ,
187,"Public credit belongs to the people as a whole and they may do anything with it they like.
",SUBJ,
254,"When the railroads throw themselves on the hands of the government and demand public credit to save them from bankruptcy, these radical forces do not protest, or, if they do, it is in an academic sense only; and the reason for this is that they believe in the public ownership of railroads, and see, perhaps more clearly than the others, that such use of public credit tends to bring the experiment of state ownership to pass.
",SUBJ,
711,"Are the rulers preparing us to accept another lockdown over a mutated monkeypox virus?
",SUBJ,
606,"It is not like China to settle for such underperformance.
",SUBJ,
569,"This is the strongest case for stakeholder capitalism.
",SUBJ,
223,"The basis of this paradoxical inclination is the lack of personal will, and this lack of personal will itself comes from the horror of responsibility
",SUBJ,
300,"It is clear, however, that in passing these responsibilities to government we should be exchanging freedom for something else as yet unnamed.
",SUBJ,
332,"Whether this would be all for the best, or otherwise, is not yet the point.
",OBJ,
388,"Somewhere in-between is an optimum point, although I’ve never seen any discussion of where that would fall.
",SUBJ,
135,"Taxes have risen to a point at which they begin to devour people’s possessions, and the taxpayer is wild for relief.
",SUBJ,
114,"Therefore these unprecedented uses of the public credit now being made, and proposed to be made, are to meet a crisis that must soon pass.
",SUBJ,
344,"All the public treasuries will be rich.
",SUBJ,
610,"Thanks to its deep property slump and the government’s “zero-covid” policy, which entails lockdowns in response to every outbreak of the virus, the economy is now forecast to grow by less than 3% in 2022, according to banks such as Nomura, Morgan Stanley and ubs.
",OBJ,
168,"Such competition is embarrassing and unscientific from the common point of view of government seeking revenue.
",SUBJ,
645,"In addition, the ever-present threat of lockdowns has crushed the confidence of consumers and entrepreneurs.
",OBJ,not sure
517,"In theory, the problematic behavior parts of the New Mexico ruling could still prevent an illegal alien from being given authorization to practice law, but don’t count on it.
",SUBJ,
244,"But that will be only like pruning the tree, for lustier growth hereafter, unless we settle what public credit is for in principle and limit in a drastic manner the ferocious growth of government.",SUBJ,
331,"A third formation of forces moving in a parallel manner to absorb the national income by extension of government is made up of practical reformers, idealists, good-government people, with or without any political theory.
",SUBJ,
287,"This pain is the terror of government because it arrests its growth.
",SUBJ,
219,"Moreover, these forces are thoughtless.
",SUBJ,
183,"Thus, government responsibility for old-age security, child life, tonsils, widows, backward mentalities, employment insurance, better maternity, public nursing, recreation, adult play, plumbing, housing, right nurture, infant feeding, vocational guidance, the use of leisure, everything of the good life for everybody, as a responsibility of the state, to procure it, provide it, superintend it.
",SUBJ,
665,"It has been a bumpy road even to this juncture.
",SUBJ,
649,"Gone are the days when they led the world in recession-busting
",SUBJ,
592,"His voice counts for less when corporate elites use market power to settle political questions.
",SUBJ,
308,"Everyone knows that impulse.
",SUBJ,
267,"And all this intelligent uproar is in a sense superficial and probably delusive.
",SUBJ,
125,"What they have in common is a certain reaction to the sight of human misery, squalor, discomfort, disadvantage or what they believe to be curable wretchedness.
",SUBJ,
146,"And now you will see a selective struggle taking place within government itself.
",SUBJ,
46,"As this logistics system becomes more interdependent and fragile, the potential leverage of these workers increases to a dramatic level.
",SUBJ,speculation
460,"The pandemic and politics are two primary factors.
",OBJ,
44,"Regardless of whether this tentative agreement is approved or not, deep issues with the rail system will remain.
",SUBJ,draw conclusion
623,But no one fights covid-19 like China.,SUBJ,
571,"No citizen in a democratic society should want executives from $10trn financial institutions to play a larger role than they already do in defining and implementing social values.
",SUBJ,
207,"Why should not everyone pay an income tax?
",SUBJ,
312,"Obviously, we cannot continue in this direction without consequences either disastrous in fact or revolutionary in principle.
",SUBJ,
161,"In the minutes of the Chicago City Council, May 12th last is the perfect example of how commonly we regard public credit.
",SUBJ,
577,"But as I awaited a rebuttal to my argument, something curious happened: the world’s greatest proponents of stakeholder capitalism responded with the surprising claim that actually stakeholder capitalism is indeed the same thing as plain old capitalism.
",SUBJ,
730,"Is monkeypox going to be the “cause” of another lockdown?
",OBJ,
646,"It could increase spending or help bridge the financial gaps suffered by lower levels of government.
",OBJ,no conclusion?
144,"No government ever surrenders power, even its emergency powers—not really.
",SUBJ,
202,"If only such ideas as these now current do prevail, and if they work, we shall have enormously increased the power of self-extension which is already inherent in government.
",SUBJ,
547,"These illegal-alien lawyers will now be allowed to try to prevent their fellow illegal aliens from being deported.
",SUBJ,
204,"Then we should all be working for government, either directly as state employees or indirectly to support the employees of the state.
",SUBJ,
124,"If taxation meanwhile has to be heavily increased, so much the better, so long as the increase is, as it certainly will be, in the field of popular taxes, for thereby wealth is redistributed downward and capitalist society, in which they disbelieve, is on its way to trouble.
",SUBJ,
